id,name,lat,lon,cuisine_type,halal_cert,price_range,has_prayer_room,address,phone,hours,notes,source,verified_date
HLR_BKK_187,Roti - Canai Ayam Halal,13.7627367,100.4971549,,Unverified,,,Roti - Canai Ayam Halal,,,,Google My Maps Export,
HLR_BKK_188,ครัวมูนา Halal Home,13.6994475,100.6358055,,Unverified,,,ครัวมูนา Halal Home,,,,Google My Maps Export,
HLR_BKK_189,Halal Baan Fah - บ้านฟ้า,13.6966872,100.6379892,,Unverified,,,Halal Baan Fah - บ้านฟ้า,,,,Google My Maps Export,
HLR_BKK_190,Burger Bung(Halal),13.6932289,100.6392698,,Unverified,,,Burger Bung(Halal),,,,Google My Maps Export,
HLR_BKK_191,อาไบมาโคขุน at ศรีนครินทร์ 40,13.6935161,100.6416213,,Unverified,,,อาไบมาโคขุน at ศรีนครินทร์ 40,,,,Google My Maps Export,
HLR_BKK_192,ร้านอาหารอิสลาม ไก่ทอด Halal Food,13.6911732,100.6398561,,Unverified,,,ร้านอาหารอิสลาม ไก่ทอด Halal Food,,,,Google My Maps Export,
HLR_BKK_193,Kebabs & Biryani Corner,13.6927883,100.6507439,,Unverified,,,Kebabs & Biryani Corner,,,,Google My Maps Export,
HLR_BKK_194,Aishah Shop,13.6986904,100.4988881,,Unverified,,,Aishah Shop,,,,Google My Maps Export,
HLR_BKK_195,Halal Side Dish,13.711603,100.515521,,Unverified,,,Halal Side Dish,,,,Google My Maps Export,
HLR_BKK_196,Halal Stall,13.7014664,100.5018229,,Unverified,,,Halal Stall,,,,Google My Maps Export,
HLR_BKK_197,"Yellow Rice, Convent Road, Silom, BKK ข้าวเหลือง ถนนคอนแวนต์",13.7251216,100.5343791,,Unverified,,,"Yellow Rice, Convent Road, Silom, BKK ข้าวเหลือง ถนนคอนแวนต์",,,,Google My Maps Export,
HLR_BKK_198,"โรตี ชาชัก Chill for You Roti&Tea Cafe’, Halal food, ติดถนนรามคำแหง ซอยรามคำแหง24/4",13.7606391,100.6286235,,Unverified,,,"โรตี ชาชัก Chill for You Roti&Tea Cafe’, Halal food, ติดถนนรามคำแหง ซอยรามคำแหง24/4",,,,Google My Maps Export,
HLR_BKK_199,ร้านข้าวต้มกุ้ย บังเก๊ก halal,13.7847086,100.674053,,Unverified,,,ร้านข้าวต้มกุ้ย บังเก๊ก halal,,,,Google My Maps Export,
